id,initTime,endTime,status,irrigationType,pumpSystemId,pumpIds,zoneId,sentToNetwork,scheduledType,volume,precipitation,theoricalFlow,programmedByUser,nutrients,hydraulics,scheduledFertigations,nutricontrol,scheduledPhControls,groupingName
7973574,2024-03-20T10:04:00.000Z,2024-03-20T17:00:00.000Z,Running,Volume,13886,[62810],50929,True,DropControl,"{'value': 1272.6, 'unitAbrev': 'm³'}","{'value': 18, 'unitAbrev': 'mm'}","{'value': 202, 'unitAbrev': 'm³/h'}","{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62794, 62780, 62781, 62782]",[],[],{},
7973573,2024-03-20T08:00:00.000Z,2024-03-20T10:04:00.000Z,Executed OK,Volume,13886,[62809],50919,True,DropControl,"{'value': 350, 'unitAbrev': 'm³'}","{'value': 5, 'unitAbrev': 'mm'}","{'value': 186.668, 'unitAbrev': 'm³/h'}","{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62784, 62785, 62809, 62780, 62781, 62782, 62786]",[],[],{},
7973574,2024-03-20T10:04:00.000Z,2024-03-20T17:00:00.000Z,Running,Volume,13886,[62810],50929,True,DropControl,"{'value': 1272.6, 'unitAbrev': 'm³'}","{'value': 18, 'unitAbrev': 'mm'}","{'value': 202, 'unitAbrev': 'm³/h'}","{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62794, 62780, 62781, 62782]",[],[],{},
7973575,2024-03-20T17:00:00.000Z,2024-03-20T18:48:00.000Z,Saved,Volume,13886,[62810],50932,True,DropControl,"{'value': 275, 'unitAbrev': 'm³'}","{'value': 5, 'unitAbrev': 'mm'}","{'value': 169.232, 'unitAbrev': 'm³/h'}","{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62810, 62780, 62781, 62782]",[],[],{},
8051230,2024-03-20T10:15:00.000Z,2024-03-20T12:03:00.000Z,Executed OK,Volume,13886,[62809],50932,True,DropControl,"{'value': 275, 'unitAbrev': 'm³'}","{'value': 5, 'unitAbrev': 'mm'}","{'value': 169.232, 'unitAbrev': 'm³/h'}","{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62809, 62780, 62781, 62782]",[],[],{},
7973573,2024-03-20T08:00:00.000Z,2024-03-20T10:04:00.000Z,Executed OK,Volume,13886,[62809],50919,True,DropControl,350,5,186.668,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62784, 62785, 62809, 62780, 62781, 62782, 62786]",[],[],{},
7973574,2024-03-20T10:04:00.000Z,2024-03-20T17:00:00.000Z,Running,Volume,13886,[62810],50929,True,DropControl,1272.6,18,202,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62794, 62780, 62781, 62782]",[],[],{},
7973575,2024-03-20T17:00:00.000Z,2024-03-20T18:48:00.000Z,Saved,Volume,13886,[62810],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62810, 62780, 62781, 62782]",[],[],{},
8051230,2024-03-20T10:15:00.000Z,2024-03-20T12:03:00.000Z,Executed OK,Volume,13886,[62809],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62809, 62780, 62781, 62782]",[],[],{},
7973573,2024-03-20T08:00:00.000Z,2024-03-20T10:04:00.000Z,Executed OK,Volume,13886,[62809],50919,True,DropControl,350,5,186.668,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62784, 62785, 62809, 62780, 62781, 62782, 62786]",[],[],{},
7973574,2024-03-20T10:04:00.000Z,2024-03-20T17:00:00.000Z,Running,Volume,13886,[62810],50929,True,DropControl,1272.6,18,202,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62794, 62780, 62781, 62782]",[],[],{},
7973575,2024-03-20T17:00:00.000Z,2024-03-20T18:48:00.000Z,Saved,Volume,13886,[62810],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62810, 62780, 62781, 62782]",[],[],{},
8051230,2024-03-20T10:15:00.000Z,2024-03-20T12:03:00.000Z,Executed OK,Volume,13886,[62809],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62809, 62780, 62781, 62782]",[],[],{},
7973573,2024-03-20T08:00:00.000Z,2024-03-20T10:04:00.000Z,Executed OK,Volume,13886,[62809],50919,True,DropControl,350,5,186.668,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62784, 62785, 62809, 62780, 62781, 62782, 62786]",[],[],{},
7973574,2024-03-20T10:04:00.000Z,2024-03-20T17:00:00.000Z,Running,Volume,13886,[62810],50929,True,DropControl,1272.6,18,202,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62810, 62794, 62780, 62781, 62782]",[],[],{},
7973575,2024-03-20T17:00:00.000Z,2024-03-20T18:48:00.000Z,Saved,Volume,13886,[62810],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62810, 62780, 62781, 62782]",[],[],{},
8051230,2024-03-20T10:15:00.000Z,2024-03-20T12:03:00.000Z,Executed OK,Volume,13886,[62809],50932,True,DropControl,275,5,169.232,"{'id': 36063, 'name': 'Regantes Fundo San Luis '}",[],"[62797, 62809, 62780, 62781, 62782]",[],[],{},
