id,name,description,latitude,longitude,type,farmId,pumpSystemId,kc,theoreticalFlow,unitTheoreticalFlow,efficiency,humidityRetention,max,min,criticalPoint1,criticalPoint2,criticalPoint3,criticalPoint4,soilMode,crops,metadata,onlyMonitoring,area,areaUnit,allowPumpSelection,pumpIds,predefinedPumps,irrigationScheduleStats,polygon
50918,Sector 1 EQ 1,,,,['Irrigation'],14245,13886,1,224,m³/h,,,,,,,,,add,CIRUELOS,,False,70000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 102.01, 'min': 11.802, 'avg': 21.2599, 'std': 14.398}","{'path': [{'lng': -71.11983239997971, 'lat': -34.34421652299518}, {'lng': -71.12060309997435, 'lat': -34.34517292915372}, {'lng': -71.12055843388488, 'lat': -34.3459337661778}, {'lng': -71.11814041748133, 'lat': -34.34775402399095}, {'lng': -71.11757069030251, 'lat': -34.34697972670462}, {'lng': -71.11486074148506, 'lat': -34.34765218496478}, {'lng': -71.1146204446376, 'lat': -34.34704539909734}, {'lng': -71.1148593980634, 'lat': -34.34696524343731}, {'lng': -71.11499910975566, 'lat': -34.34671235412845}, {'lng': -71.11571841541861, 'lat': -34.34650110767118}, {'lng': -71.11604143063103, 'lat': -34.34735685416103}, {'lng': -71.11757065927175, 'lat': -34.34698121242527}, {'lng': -71.11714934004534, 'lat': -34.34640915320381}, {'lng': -71.11983239997971, 'lat': -34.34421652299518}, {'lng': -71.11983239997971, 'lat': -34.34421652299518}], 'bounds': {'southWest': {'lng': -71.12060309997435, 'lat': -34.34775402399095}, 'northEast': {'lng': -71.1146204446376, 'lat': -34.34421652299518}}}"
50919,Sector 2 EQ 1,,,,['Irrigation'],14245,13886,1,186.668,m³/h,,,,,,,,,add,CIRUELOS,,False,70000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 76.896, 'min': 12.912, 'avg': 19.9768, 'std': 12.0396}","{'path': [{'lng': -71.11672171774934, 'lat': -34.34619657856709}, {'lng': -71.1147449130529, 'lat': -34.34670733488758}, {'lng': -71.11514376921635, 'lat': -34.3466434454827}, {'lng': -71.11634467581507, 'lat': -34.3463298700133}, {'lng': -71.11644593033037, 'lat': -34.34660246248664}, {'lng': -71.116496557588, 'lat': -34.34675426013148}, {'lng': -71.11657937135384, 'lat': -34.34694591903454}, {'lng': -71.11659158922888, 'lat': -34.34699329145188}, {'lng': -71.11663599361206, 'lat': -34.34708273983707}, {'lng': -71.11666321822598, 'lat': -34.34717632976274}, {'lng': -71.11655613112725, 'lat': -34.34721205207685}, {'lng': -71.11645709065562, 'lat': -34.34724555985458}, {'lng': -71.11638909537311, 'lat': -34.34725581308989}, {'lng': -71.11632335942022, 'lat': -34.34727672013128}, {'lng': -71.11627103451242, 'lat': -34.34729762716743}, {'lng': -71.11622139181362, 'lat': -34.34730967612091}, {'lng': -71.11612683302982, 'lat': -34.34733563126855}, {'lng': -71.11605104970914, 'lat': -34.34735051381687}, {'lng': -71.11600757206551, 'lat': -34.34725805870645}, {'lng': -71.11598544993747, 'lat': -34.34719204781877}, {'lng': -71.11594440217404, 'lat': -34.34710184399345}, {'lng': -71.11591604364212, 'lat': -34.34702142328333}, {'lng': -71.11589841394625, 'lat': -34.34697864948437}, {'lng': -71.11586315455453, 'lat': -34.34687538557526}, {'lng': -71.11579263577107, 'lat': -34.3466954318081}, {'lng': -71.11572133563855, 'lat': -34.34650825746371}, {'lng': -71.1147281122404, 'lat': -34.34671337074634}, {'lng': -71.11447738361947, 'lat': -34.34677597673335}, {'lng': -71.11404198328195, 'lat': -34.34591862069616}, {'lng': -71.11370495268869, 'lat': -34.34521496053314}, {'lng': -71.11467780140646, 'lat': -34.3443543872487}, {'lng': -71.1147579842121, 'lat': -34.34434432622785}, {'lng': -71.11497740584835, 'lat': -34.34413379498397}, {'lng': -71.11571094724053, 'lat': -34.34350921853557}, {'lng': -71.11659115656082, 'lat': -34.34472191016003}, {'lng': -71.11705749166389, 'lat': -34.34441893381837}, {'lng': -71.11799005537088, 'lat': -34.34572057534653}, {'lng': -71.11714917313262, 'lat': -34.34640821768913}, {'lng': -71.11639110854843, 'lat': -34.34542242192524}, {'lng': -71.11636700172917, 'lat': -34.34539842518643}, {'lng': -71.11593757443887, 'lat': -34.34484056570023}, {'lng': -71.11580372096459, 'lat': -34.34474786086113}, {'lng': -71.11504425996141, 'lat': -34.34425124732757}, {'lng': -71.11498624839955, 'lat': -34.3441511489667}, {'lng': -71.11478538915088, 'lat': -34.3443323437051}, {'lng': -71.11503321202503, 'lat': -34.34441187038675}, {'lng': -71.11569202279168, 'lat': -34.34487145749416}, {'lng': -71.11591998171647, 'lat': -34.3450191142247}, {'lng': -71.11665139451533, 'lat': -34.3460843013905}, {'lng': -71.11672171774934, 'lat': -34.34619657856709}], 'bounds': {'southWest': {'lng': -71.11799005537088, 'lat': -34.34735051381687}, 'northEast': {'lng': -71.11370495268869, 'lat': -34.34350921853557}}}"
50922,Sector 3 EQ 1,,,,['Irrigation'],14245,13886,1,213.332,m³/h,,,,,,,,,add,CIRUELOS,,False,80000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 82.15, 'min': 12.335, 'avg': 20.0828, 'std': 10.1333}","{'path': [{'lng': -71.11737169821876, 'lat': -34.34246187728296}, {'lng': -71.11756657163015, 'lat': -34.34233148531833}, {'lng': -71.11772883888439, 'lat': -34.34259162372142}, {'lng': -71.11796929437864, 'lat': -34.34300416625656}, {'lng': -71.11815452573802, 'lat': -34.34317894083698}, {'lng': -71.11831840002216, 'lat': -34.34338294625879}, {'lng': -71.11842776360852, 'lat': -34.34340232278932}, {'lng': -71.1185960034442, 'lat': -34.34349979231358}, {'lng': -71.11875251018567, 'lat': -34.34367844614015}, {'lng': -71.11899183931922, 'lat': -34.34380847151501}, {'lng': -71.11928363500525, 'lat': -34.34399767192363}, {'lng': -71.11971311264728, 'lat': -34.34410455009007}, {'lng': -71.11982890606737, 'lat': -34.34422050231609}, {'lng': -71.11799306596471, 'lat': -34.34572729796453}, {'lng': -71.11716147872164, 'lat': -34.3464046614812}, {'lng': -71.11696167985367, 'lat': -34.34617225327229}, {'lng': -71.11674756060013, 'lat': -34.34624021176856}, {'lng': -71.1167565701709, 'lat': -34.34623610946614}, {'lng': -71.11722396255414, 'lat': -34.34680248792214}, {'lng': -71.11734543377727, 'lat': -34.34703272319568}, {'lng': -71.11667707498628, 'lat': -34.34718744505511}, {'lng': -71.11661009256338, 'lat': -34.34703028386077}, {'lng': -71.1165189702593, 'lat': -34.34679561375061}, {'lng': -71.1163581833233, 'lat': -34.34633955883151}, {'lng': -71.11661083529465, 'lat': -34.34627975512722}, {'lng': -71.11674278786033, 'lat': -34.34624431140761}, {'lng': -71.1169623162294, 'lat': -34.3461680659583}, {'lng': -71.11715658569838, 'lat': -34.34640873191033}, {'lng': -71.11799498226505, 'lat': -34.34571845104532}, {'lng': -71.11705818121514, 'lat': -34.34442090755629}, {'lng': -71.1165925691773, 'lat': -34.34471971419004}, {'lng': -71.11571664909209, 'lat': -34.3435084657328}, {'lng': -71.11720065088944, 'lat': -34.34225548947591}, {'lng': -71.11737169821876, 'lat': -34.34246187728296}, {'lng': -71.11737169821876, 'lat': -34.34246187728296}], 'bounds': {'southWest': {'lng': -71.11982890606737, 'lat': -34.34718744505511}, 'northEast': {'lng': -71.11571664909209, 'lat': -34.34225548947591}}}"
50924,Sector 4 EQ 1,,,,['Irrigation'],14245,13886,1,160,m³/h,,,,,,,,,add,CIRUELOS,,False,50000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 78.072, 'min': 13.221, 'avg': 20.7382, 'std': 14.47}","{'path': [{'lng': -71.11487308320501, 'lat': -34.34766562948451}, {'lng': -71.1155375466904, 'lat': -34.34936570895154}, {'lng': -71.11852763427927, 'lat': -34.34865836368816}, {'lng': -71.11840919788288, 'lat': -34.34837928485765}, {'lng': -71.11737279073643, 'lat': -34.34701124175054}, {'lng': -71.11487308320501, 'lat': -34.34766562948451}], 'bounds': {'southWest': {'lng': -71.11852763427927, 'lat': -34.34936570895154}, 'northEast': {'lng': -71.11487308320501, 'lat': -34.34701124175054}}}"
50925,Sector 1 EQ 2,,,,['Irrigation'],14245,13886,1,200,m³/h,,,,,,,,,add,CEREZOS,,False,50000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 80.563, 'min': 26.696, 'avg': 48.0345, 'std': 15.4884}","{'path': [{'lng': -71.1223492498008, 'lat': -34.33775630722218}, {'lng': -71.12092458067893, 'lat': -34.33901344283282}, {'lng': -71.12141103267088, 'lat': -34.33939951973952}, {'lng': -71.12158890455247, 'lat': -34.34042476081884}, {'lng': -71.12172575505278, 'lat': -34.34145575388391}, {'lng': -71.12177584911494, 'lat': -34.34156644154187}, {'lng': -71.12232731694081, 'lat': -34.34109197066956}, {'lng': -71.12236585139614, 'lat': -34.34111812198841}, {'lng': -71.12311456201813, 'lat': -34.34046792874882}, {'lng': -71.12315183954696, 'lat': -34.34050415243839}, {'lng': -71.12362059375108, 'lat': -34.34007869741531}, {'lng': -71.12314605756781, 'lat': -34.33959672937391}, {'lng': -71.12298864442471, 'lat': -34.33926565791328}, {'lng': -71.12282597571387, 'lat': -34.33857067748348}, {'lng': -71.12256952531646, 'lat': -34.33804484852103}, {'lng': -71.1223492498008, 'lat': -34.33775630722218}], 'bounds': {'southWest': {'lng': -71.12362059375108, 'lat': -34.34156644154187}, 'northEast': {'lng': -71.12092458067893, 'lat': -34.33775630722218}}}"
50927,Sector 2 EQ 2,,,,['Irrigation'],14245,13886,1,163.076,m³/h,,,,,,,,,add,CEREZOS,,False,53000,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 117.479, 'min': 37.12, 'avg': 52.2496, 'std': 25.1712}","{'path': [{'lng': -71.12081934207224, 'lat': -34.33909252878986}, {'lng': -71.12130550493039, 'lat': -34.33947712226021}, {'lng': -71.1215295811688, 'lat': -34.3409263391056}, {'lng': -71.12158427238091, 'lat': -34.34162612069434}, {'lng': -71.12164992711648, 'lat': -34.34168517010603}, {'lng': -71.12138067571962, 'lat': -34.34191988376624}, {'lng': -71.12134215075844, 'lat': -34.34189505186253}, {'lng': -71.12069439355096, 'lat': -34.34245047754005}, {'lng': -71.11887539651389, 'lat': -34.34079922816602}, {'lng': -71.11924937197158, 'lat': -34.34048009299746}, {'lng': -71.11921859125067, 'lat': -34.34045271204188}, {'lng': -71.12081934207224, 'lat': -34.33909252878986}], 'bounds': {'southWest': {'lng': -71.12164992711648, 'lat': -34.34245047754005}, 'northEast': {'lng': -71.11887539651389, 'lat': -34.33909252878986}}}"
50928,Sector 3 EQ 2,,,,['Irrigation'],14245,13886,1,182,m³/h,,,,,,,,,add,CEREZOS,,False,45500,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 50.457, 'min': 37.344, 'avg': 42.358, 'std': 5.0172}","{'path': [{'lng': -71.11886530310157, 'lat': -34.34085709937029}, {'lng': -71.12063729538583, 'lat': -34.34247494798181}, {'lng': -71.11992316451993, 'lat': -34.34311739091231}, {'lng': -71.11988366983542, 'lat': -34.3431002107715}, {'lng': -71.11914177141085, 'lat': -34.34369735747866}, {'lng': -71.11887029041218, 'lat': -34.34346557516939}, {'lng': -71.11878495685932, 'lat': -34.34334828564589}, {'lng': -71.11847625119697, 'lat': -34.34315444328958}, {'lng': -71.11813017776535, 'lat': -34.34278437780574}, {'lng': -71.11786139207389, 'lat': -34.34235317152598}, {'lng': -71.11781277029, 'lat': -34.34219230655705}, {'lng': -71.11796423338227, 'lat': -34.34206595752655}, {'lng': -71.1177588123895, 'lat': -34.34178331347124}, {'lng': -71.11886530310157, 'lat': -34.34085709937029}], 'bounds': {'southWest': {'lng': -71.12063729538583, 'lat': -34.34369735747866}, 'northEast': {'lng': -71.1177588123895, 'lat': -34.34085709937029}}}"
50929,Sector 4 EQ 2,,,,['Irrigation'],14245,13886,1,202,m³/h,,,,,,,,,add,CEREZOS,,False,70700,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 87.841, 'min': 13.59, 'avg': 21.4285, 'std': 14.1898}","{'path': [{'lng': -71.12167510923327, 'lat': -34.34925449631988}, {'lng': -71.12025495162356, 'lat': -34.35054447966372}, {'lng': -71.11818912562383, 'lat': -34.34774329826537}, {'lng': -71.12052799058361, 'lat': -34.34598352742162}, {'lng': -71.12063218139886, 'lat': -34.34653057427072}, {'lng': -71.12059207917655, 'lat': -34.34665907524557}, {'lng': -71.12041516979022, 'lat': -34.34693747189997}, {'lng': -71.12032117567317, 'lat': -34.34732898106611}, {'lng': -71.1203051616511, 'lat': -34.34767659021813}, {'lng': -71.1203460558774, 'lat': -34.3479358654245}, {'lng': -71.12049310429055, 'lat': -34.34818999545232}, {'lng': -71.12069805776247, 'lat': -34.34832378210691}, {'lng': -71.12094606332357, 'lat': -34.34842100658393}, {'lng': -71.12119229787201, 'lat': -34.34852662139068}, {'lng': -71.1213701971209, 'lat': -34.34868454332141}, {'lng': -71.12157071165693, 'lat': -34.34878945722873}, {'lng': -71.12159370037034, 'lat': -34.34900636337372}, {'lng': -71.12167510923327, 'lat': -34.34925449631988}], 'bounds': {'southWest': {'lng': -71.12167510923327, 'lat': -34.35054447966372}, 'northEast': {'lng': -71.11818912562383, 'lat': -34.34598352742162}}}"
50930,Sector 1 EQ 3,,,,['Irrigation'],14245,13886,1,188.92,m³/h,,,,,,,,,add,CEREZOS,,False,61400,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 122.054, 'min': 12.654, 'avg': 23.034, 'std': 21.504}","{'path': [{'lng': -71.11434962532473, 'lat': -34.3468044800165}, {'lng': -71.11459338003576, 'lat': -34.34719390517278}, {'lng': -71.1154591272215, 'lat': -34.34940975960491}, {'lng': -71.11314077510353, 'lat': -34.34996769238795}, {'lng': -71.1130305914218, 'lat': -34.3495189118964}, {'lng': -71.1122116925616, 'lat': -34.34735013172999}, {'lng': -71.11434962532473, 'lat': -34.3468044800165}], 'bounds': {'southWest': {'lng': -71.1154591272215, 'lat': -34.34996769238795}, 'northEast': {'lng': -71.1122116925616, 'lat': -34.3468044800165}}}"
50931,Sector 2 EQ 3,,,,['Irrigation'],14245,13886,1,170.768,m³/h,,,,,,,,,add,CEREZOS,,False,55500,m²,True,"[62809, 62810, 62811]","[62809, 62810, 62811]","{'max': 36.893, 'min': 13.204, 'avg': 18.7725, 'std': 4.3546}","{'path': [{'lng': -71.11432443762894, 'lat': -34.34675720579307}, {'lng': -71.11222139503857, 'lat': -34.34730007527752}, {'lng': -71.11124428167005, 'lat': -34.34461880816369}, {'lng': -71.1122204306568, 'lat': -34.34439225617554}, {'lng': -71.11255083048874, 'lat': -34.34440185736245}, {'lng': -71.11298799734217, 'lat': -34.34431488549883}, {'lng': -71.11321459788836, 'lat': -34.34454426315728}, {'lng': -71.11318850982178, 'lat': -34.34460549927497}, {'lng': -71.11341116012586, 'lat': -34.34497819461102}, {'lng': -71.1135199532398, 'lat': -34.3450084827731}, {'lng': -71.11432443762894, 'lat': -34.34675720579307}], 'bounds': {'southWest': {'lng': -71.11432443762894, 'lat': -34.34730007527752}, 'northEast': {'lng': -71.11124428167005, 'lat': -34.34431488549883}}}"
