id,name,description,latitude,longitude,type,farmid,pumpsystemid,kc,theoreticalflowm3h,efficiency,humidityretention,max,min,criticalpoint1,criticalpoint2,criticalpoint3,criticalpoint4,soilmode,crops,area_m2,pumpids,predefinedpumps,irrigation_max,irrigation_min,irrigation_avg,irrigation_std,southwest_lng,southwest_lat,northeast_lng,northeast_lat
50918,Sector 1 EQ 1,,,,['Irrigation'],14245,13886.0,1,224.0,,,,,,,,,add,CIRUELOS,70000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",102.01,11.802,20.7068,13.3584,-71.12060309997435,-34.34775402399095,-71.1146204446376,-34.34421652299518
50919,Sector 2 EQ 1,,,,['Irrigation'],14245,13886.0,1,186.668,,,,,,,,,add,CIRUELOS,70000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",76.896,10.224,19.3062,11.089,-71.11799005537088,-34.34735051381687,-71.11370495268869,-34.34350921853557
50922,Sector 3 EQ 1,,,,['Irrigation'],14245,13886.0,1,213.332,,,,,,,,,add,CIRUELOS,80000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",82.15,12.335,19.7749,9.3925,-71.11982890606737,-34.34718744505511,-71.11571664909209,-34.34225548947591
50924,Sector 4 EQ 1,,,,['Irrigation'],14245,13886.0,1,160.0,,,,,,,,,add,CIRUELOS,50000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",78.072,13.221,20.7382,14.47,-71.11852763427927,-34.34936570895154,-71.11487308320501,-34.34701124175054
50925,Sector 1 EQ 2,,,,['Irrigation'],14245,13886.0,1,200.0,,,,,,,,,add,CEREZOS,50000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",80.563,26.696,47.7362,15.2355,-71.12362059375108,-34.34156644154187,-71.12092458067893,-34.33775630722218
50927,Sector 2 EQ 2,,,,['Irrigation'],14245,13886.0,1,163.076,,,,,,,,,add,CEREZOS,53000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",117.479,37.12,52.2496,25.1712,-71.12164992711648,-34.34245047754005,-71.11887539651389,-34.33909252878986
50928,Sector 3 EQ 2,,,,['Irrigation'],14245,13886.0,1,182.0,,,,,,,,,add,CEREZOS,45500.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",50.457,37.344,42.358,5.0172,-71.12063729538583,-34.34369735747866,-71.1177588123895,-34.34085709937029
50929,Sector 4 EQ 2,,,,['Irrigation'],14245,13886.0,1,202.0,,,,,,,,,add,CEREZOS,70700.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",87.841,13.59,21.0242,13.2179,-71.12167510923327,-34.35054447966372,-71.11818912562383,-34.34598352742162
50930,Sector 1 EQ 3,,,,['Irrigation'],14245,13886.0,1,188.92,,,,,,,,,add,CEREZOS,61400.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",122.054,12.654,22.2639,19.3486,-71.1154591272215,-34.34996769238795,-71.1122116925616,-34.3468044800165
50931,Sector 2 EQ 3,,,,['Irrigation'],14245,13886.0,1,170.768,,,,,,,,,add,CEREZOS,55500.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",75.771,13.204,20.1986,9.531,-71.11432443762894,-34.34730007527752,-71.11124428167005,-34.34431488549883
50932,Sector 3 EQ 3,,,,['Irrigation'],14245,13886.0,1,169.232,,,,,,,,,add,CEREZOS,55000.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",141.133,11.581,21.6008,20.6054,-71.11206455990191,-34.34774973160863,-71.1092148974867,-34.34463105775196
50933,Sector 4 EQ 3,,,,['Irrigation'],14245,13886.0,1,176.0,,,,,,,,,add,CEREZOS,57200.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",28.288,12.091,17.7219,3.3077,-71.11291305386379,-34.35024679970944,-71.10901122010813,-34.34738131909777
50934,Sector 5 EQ 3,,,,['Irrigation'],14245,13886.0,1,176.308,,,,,,,,,add,CEREZOS,57300.0,"[62809, 62810, 62811]","[62809, 62810, 62811]",28.357,10.845,17.968,3.7431,-71.11065227995692,-34.34960792288387,-71.10752915846045,-34.34506291517182
53361,EMA Santina 2020,,,,['Weather'],14245,,1,,,,,,,,,,add,,,,,,,,,,,,
53367,EMA Rainier 2015,,,,['Weather'],14245,,1,,,,,,,,,,add,,,,,,,,,,,,
